o	the	1000_o.mp3
de	from	1000_de.mp3
e	and	1000_e.mp3
que	what	1000_que.mp3
ser	to be	1000_ser.mp3
um	one	1000_um.mp3
em	in	1000_em.mp3
para	for	1000_para.mp3
com	with	1000_com.mp3
a	to	1000_a.mp3
ter	to have	1000_ter.mp3
não	not	1000_não.mp3
por	by	1000_por.mp3
seu	yours	1000_seu.mp3
se	if	1000_se.mp3
mais	more	1000_mais.mp3
estar	to be	1000_estar.mp3
como	as	1000_como.mp3
este	this	1000_este.mp3
poder	can	1000_poder.mp3
ou	or	1000_ou.mp3
todo	all	1000_todo.mp3
ano	year	1000_ano.mp3
fazer	to do	1000_fazer.mp3
mas	but	1000_mas.mp3
ir	to go	1000_ir.mp3
muito	very much	1000_muito.mp3
também	also	1000_também.mp3
outro	other	1000_outro.mp3
ele	he	1000_ele.mp3
já	already	1000_já.mp3
dia	day	1000_dia.mp3
novo	new	1000_novo.mp3
haver	to have	1000_haver.mp3
grande	great	1000_grande.mp3
ainda	still	1000_ainda.mp3
sobre	on	1000_sobre.mp3
até	until	1000_até.mp3
dizer	to say	1000_dizer.mp3
mesmo	same	1000_mesmo.mp3
pessoa	person	1000_pessoa.mp3
entre	among, between	1000_entre.mp3
dever	should	1000_dever.mp3
esse	that	1000_esse.mp3
nosso	our	1000_nosso.mp3
caso	case	1000_caso.mp3
eu	I	1000_eu.mp3
dois	two	1000_dois.mp3
bom	good	1000_bom.mp3
dar	to give	1000_dar.mp3
algum	some	1000_algum.mp3
forma	form	1000_forma.mp3
segundo	second	1000_segundo.mp3
vez	time	1000_vez.mp3
empresa	company	1000_empresa.mp3
primeiro	first	1000_primeiro.mp3
sem	without	1000_sem.mp3
quando	when	1000_quando.mp3
Portugal	Portugal	1000_Portugal.mp3
isso	that	1000_isso.mp3
país	country	1000_país.mp3
tempo	time	1000_tempo.mp3
bem	well	1000_bem.mp3
só	only	1000_só.mp3
serviço	service	1000_serviço.mp3
ficar	stay	1000_ficar.mp3
nós	we	1000_nós.mp3
querer	to want	1000_querer.mp3
trabalho	job	1000_trabalho.mp3
público	public	1000_público.mp3
onde	where	1000_onde.mp3
estado	state	1000_estado.mp3
parte	part	1000_parte.mp3
assim	thus	1000_assim.mp3
desde	since	1000_desde.mp3
passar	to pass	1000_passar.mp3
cada	each	1000_cada.mp3
informação	information	1000_informação.mp3
último	last	1000_último.mp3
sempre	always	1000_sempre.mp3
hoje	today	1000_hoje.mp3
depois	later	1000_depois.mp3
presidente	president	1000_presidente.mp3
durante	during	1000_durante.mp3
vida	life	1000_vida.mp3
área	area	1000_área.mp3
apresentar	to introduce	1000_apresentar.mp3
porque	because	1000_porque.mp3
ver	to see	1000_ver.mp3
social	social	1000_social.mp3
apenas	only	1000_apenas.mp3
quem	who	1000_quem.mp3
qualquer	any	1000_qualquer.mp3
além	beyond	1000_além.mp3
qual	which	1000_qual.mp3
mês	month	1000_mês.mp3
após	after	1000_após.mp3
chegar	to arrive	1000_chegar.mp3
meu	mine	1000_meu.mp3
saber	to know	1000_saber.mp3
milhão	million	1000_milhão.mp3
vir	to come	1000_vir.mp3
realizar	perform	1000_realizar.mp3
número	number	1000_número.mp3
receber	to receive	1000_receber.mp3
momento	moment	1000_momento.mp3
cidade	city	1000_cidade.mp3
casa	house	1000_casa.mp3
português	Portuguese	1000_português.mp3
permitir	to allow	1000_permitir.mp3
Lisboa	Lisbon	1000_Lisboa.mp3
valor	value	1000_valor.mp3
acordo	agreement	1000_acordo.mp3
local	location	1000_local.mp3
agora	now	1000_agora.mp3
afirmar	assert	1000_afirmar.mp3
mil	thousand	1000_mil.mp3
três	three	1000_três.mp3
processo	process	1000_processo.mp3
medida	measure	1000_medida.mp3
mundo	world	1000_mundo.mp3
encontrar	to meet	1000_encontrar.mp3
tudo	everything	1000_tudo.mp3
através	through	1000_através.mp3
pouco	little	1000_pouco.mp3
próximo	next	1000_próximo.mp3
pequeno	small	1000_pequeno.mp3
situação	situation	1000_situação.mp3
Brasil	Brazil	1000_Brasil.mp3
sistema	system	1000_sistema.mp3
deixar	to leave	1000_deixar.mp3
criar	to create	1000_criar.mp3
contar	to tell	1000_contar.mp3
final	final	1000_final.mp3
dado	given	1000_dado.mp3
nível	level	1000_nível.mp3
meio	middle	1000_meio.mp3
São	São	1000_São.mp3
pandemia	pandemic	1000_pandemia.mp3
contra	against	1000_contra.mp3
possível	possible	1000_possível.mp3
grupo	group	1000_grupo.mp3
mercado	market	1000_mercado.mp3
ela	she	1000_ela.mp3
levar	to take	1000_levar.mp3
governo	government	1000_governo.mp3
saúde	health	1000_saúde.mp3
resultado	result	1000_resultado.mp3
semana	week	1000_semana.mp3
começar	to start	1000_começar.mp3
espaço	space	1000_espaço.mp3
conseguir	to get	1000_conseguir.mp3
nem	nor	1000_nem.mp3
ponto	point	1000_ponto.mp3
importante	important	1000_importante.mp3
produto	product	1000_produto.mp3
partir	leave	1000_partir.mp3
continuar	to continue	1000_continuar.mp3
direito	right	1000_direito.mp3
nacional	national	1000_nacional.mp3
próprio	own	1000_próprio.mp3
falar	to speak	1000_falar.mp3
rede	network	1000_rede.mp3
hora	hour	1000_hora.mp3
eles	they	1000_eles.mp3
programa	program	1000_programa.mp3
antes	before	1000_antes.mp3
cerca	around	1000_cerca.mp3
relação	relationship	1000_relação.mp3
profissional	professional	1000_profissional.mp3
região	region	1000_região.mp3
menos	less	1000_menos.mp3
utilizar	to use	1000_utilizar.mp3
jogo	game	1000_jogo.mp3
família	family	1000_família.mp3
lugar	place	1000_lugar.mp3
fim	end	1000_fim.mp3
considerar	to consider	1000_considerar.mp3
Paulo	Paul	1000_Paulo.mp3
acontecer	to happen	1000_acontecer.mp3
existir	to exist	1000_existir.mp3
